relative_path,split,class,filename,extension,size_bytes,sha256
dataset4/test/nonulcer/0.jpg,test,nonulcer,0.jpg,.jpg,23820,aaac83a1deae5832d1fd83de9c87d9142c6b5a493654b0c90f3b618b59638170
dataset4/test/nonulcer/0cbt67mm0fr01.jpg,test,nonulcer,0cbt67mm0fr01.jpg,.jpg,852294,525572d57aaabd1f817ea600db6adbad5b08e31e02e53d3f1545b8725766ad64
dataset4/test/nonulcer/1 .jpg,test,nonulcer,1 .jpg,.jpg,101477,6f627c07e23bcd7431d7f8d355c894e3c3d8e1d780150fa4b268691654d0cd21
dataset4/test/nonulcer/1.jpg,test,nonulcer,1.jpg,.jpg,25155,72fcd189aa5753de4791a2402f135787dc2ae198fbb7af33472b495667342f76
dataset4/test/nonulcer/10.jpg,test,nonulcer,10.jpg,.jpg,50638,6debc66ee3d373198a2a6305ea982eb2ffc5e09200afc6a5fcf9ec41178c254c
dataset4/test/nonulcer/11.jpg,test,nonulcer,11.jpg,.jpg,28376,d3ac2174bb72cd62d27931961ef91bf094044520197e3ac94e8726acf9891edd
dataset4/test/nonulcer/1167 (1).jpg,test,nonulcer,1167 (1).jpg,.jpg,29555,2a1251884e6f8495772a0b6b9998d3646925fd55e108637c7bfe865831a5cb03
dataset4/test/nonulcer/1167.jpg,test,nonulcer,1167.jpg,.jpg,60483,b626b1eac48d8e061eeab017737c8860b7212dd6cdf7a4a5e261c501f718d337
dataset4/test/nonulcer/12.jpg,test,nonulcer,12.jpg,.jpg,64711,f6ace81c0dd02206f318fe39867a440517577a785b4705370e9ab055e851e551
dataset4/test/nonulcer/13.jpg,test,nonulcer,13.jpg,.jpg,27138,93213c1cff7770a5c6c848cc3807df1a887f4f2ff55ad46a98672619b15718de
dataset4/test/nonulcer/14.jpg,test,nonulcer,14.jpg,.jpg,37665,3496d8cce72e766fb4dded61eeb93df99fd0fd164858115a4a19bc19d1f742d7
dataset4/test/nonulcer/15.jpg,test,nonulcer,15.jpg,.jpg,12274,221a36b77e2a8d0387b111ed0c43d2e3dfa94d7ceb9549d4179d33de471b0991
dataset4/test/nonulcer/16.jpg,test,nonulcer,16.jpg,.jpg,16823,324448b4f20f228c8a177fa74c3da5810136cf664831fa9779c38431ebaa1a30
dataset4/test/nonulcer/17.jpg,test,nonulcer,17.jpg,.jpg,26720,48f7f4525a9dd9ad3bcf79758f4d2224c986af9a43d3730120dcb90425b6865f
dataset4/test/nonulcer/18.jpg,test,nonulcer,18.jpg,.jpg,67169,e56c6ba30837c371f23b11fa3fb465d7e617e998de7d1a38aca1b1dd2dfd9de7
dataset4/test/nonulcer/1882_19-Effective-Home-Remedies-For-Corns-And-Calluses (1).jpg,test,nonulcer,1882_19-Effective-Home-Remedies-For-Corns-And-Calluses (1).jpg,.jpg,33930,566890c638040bf7048765b1eb6c749d501463d1b3de2d4d913d8967374ada1e
dataset4/test/nonulcer/19.jpg,test,nonulcer,19.jpg,.jpg,55629,b165857e57787e430b7543c8a2708c62e6a6d6cabfcf2043820434e35956132b
